Nom de la gare,Commune,Latitude,Longitude
Gare de Auxerre-St-Gervais,AUXERRE,47.79761112367383,3.585464507772017
Gare de Avallon,AVALLON,47.49583531306605,3.912692787059527
Gare de Clamecy,CLAMECY,47.46498987618404,3.518567941517941
Gare de Corbigny,CORBIGNY,47.25489222994257,3.677184737926491
Gare de Lorient,LORIENT,47.75512114124836,-3.366289623776526
Gare de Quimperlé,QUIMPERLE,47.869309994444535,-3.552988951161868
Châteaubriant,CHATEAUBRIANT,47.717011948752074,-1.371399146393917
Gare de Janzé,JANZE,47.955335981987055,-1.49783796227674
Gare de Retiers,RETIERS,47.91327245102402,-1.389795493132067
Gare de Dinan,DINAN,48.45702207710471,-2.053387664537875
Gare de Dol,DOL-DE-BRETAGNE,48.5438989124489,-1.74987248932575
Gare de Valençay,VALENCAY,47.163082483538474,1.558500011171631
Gare de Salbris,SALBRIS,47.428382293574955,2.046734161195332
Gare de Faubourg-d'Orléans,ROMORANTIN-LANTHENAY,47.366833345124405,1.740234225606201
Gare de Châlons-en-Champagne,CHALONS-EN-CHAMPAGNE,48.95527794985203,4.348974315249643
Gare de Verdun,VERDUN-SUR-LE-DOUBS,46.890138232320346,5.024560603306501
Gare de St-Dizier,SAINT-DIZIER,48.642857708823314,4.946931424939272
Gare de Vitry-le-François,VITRY-LE-FRANCOIS,48.71778308956657,4.587514744819615
Gare de Joinville,JOINVILLE,48.44433716708518,5.144114026022076
Gare de Chaumont,VEUZAIN-SUR-LOIRE,47.49181168698501,1.186124412116244
Gare de Troyes,TROYES,48.29576700034289,4.064917895591246
Gare de Bar-sur-Aube,BAR-SUR-AUBE,48.23856610507349,4.707058954282401
Gare de Vendeuvre (Aube),VENDEUVRE-SUR-BARSE,48.24030146833951,4.46747259924721
Gare de St-Florentin-Vergigny,VERGIGNY,47.980410691581746,3.730960975499897
Gare de Laroche-Migennes,MIGENNES,47.96101462319648,3.511453668444495
Gare de Romilly-sur-Seine,ROMILLY-SUR-SEINE,48.513931997995826,3.728722213291402
Gare de Nogent-sur-Seine,NOGENT-SUR-SEINE,48.49804814623097,3.493949146077137
Gare de Charleville-Mézières,CHARLEVILLE-MEZIERES,49.768366315516765,4.725628702138134
Gare de Hirson,HIRSON,49.92932208305819,4.086000106405374
Gare de Fismes,FISMES,49.31092384327646,3.682512960005394
Gare de Reims,REIMS,49.22331127474224,4.103140399912199
Gare de Aillevillers,CORBENAY,47.909720094017686,6.332728777672446
Gare de Lure,LURE,47.6829617248573,6.492761832761009
Gare de Le Valdahon,VALDAHON,47.149816892748554,6.34238015058726
Gare de Mouchard,MOUCHARD,46.9766808890851,5.800839231869734
Gare de Lons-le-Saunier,LONS-LE-SAUNIER,46.66835586803146,5.550572824137999
Gare de Poligny,POLIGNY,46.84340300087306,5.699030876701165
Gare de Champagnole,CHAMPAGNOLE,46.749442278854836,5.910072631614371
Gare de Andelot,ANDELOT-EN-MONTAGNE,46.8584024088421,5.920846203868465
Gare de Alès,ALES,44.13162129695281,4.081017235029589
Gare de Nîmes,MANDUEL,43.81678434080806,4.507722679137596
Gare de La Bastide-St-Laurent,LA BASTIDE-PUYLAURENT,44.59267783357963,3.903831857199111
Gare de Langogne,LANGOGNE,44.73268355112731,3.857480960432029
Gare de Mende,MENDE,44.52241170756253,3.501918908967538
Gare de Millau,MILLAU,44.102428225009724,3.07437667979391
Gare de Marvejols,MARVEJOLS,44.54467010094681,3.281142663772214
Gare de Carcassonne,CARCASSONNE,43.21826921559891,2.352986949598741
Quillan,QUILLAN,42.873609277848715,2.181744509481686
Gare de Limoux,LIMOUX,43.05646966541196,2.223087178016785
Gare de Bédarieux,BEDARIEUX,43.605074083118474,3.147606955268796
Gare de Béziers,BEZIERS,43.336016861538425,3.21957141341165
Gare de Guéret,GUERET,46.17423336193868,1.879372546235722
Gare de Tulle,TULLE,45.25794001504676,1.757424216511593
Gare de Meymac,MEYMAC,45.53002999690653,2.163697861677172
Gare de Nancy-Ville,NANCY,48.689702404399846,6.174101796891322
Mirecourt,MIRECOURT,48.299854954820624,6.12914077829477
Gare de Contrexéville,CONTREXEVILLE,48.179604336817256,5.89060025319197
Gare de Vittel,VITTEL,48.202635169665676,5.942242226000524
Gare de Sarrebourg,SARREBOURG,48.73844492124301,7.051941434650432
